City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
24,New Norfolk,AU,-42.7826,147.0587,42.91,90,98,2.73,overcast clouds
25,Kuusamo,FI,65.9667,29.1833,42.84,93,100,10.36,overcast clouds
26,Kruisfontein,ZA,-34.0033,24.7314,51.89,44,79,6.93,broken clouds
27,College,US,64.8569,-147.8028,72.0,53,75,5.75,broken clouds
28,Touros,BR,-5.1989,-35.4608,75.11,77,16,9.82,few clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,78,0,11.5,clear sky
30,Batsfjord,NO,70.6345,29.7185,40.93,93,100,12.66,overcast clouds
31,Claymont,US,39.8007,-75.4596,77.67,82,100,10.36,overcast clouds
32,Isangel,VU,-19.55,169.2667,80.71,78,100,5.75,overcast clouds
33,Hithadhoo,MV,-0.6,73.0833,81.18,76,100,10.09,light rain
34,Ushuaia,AR,-54.8,-68.3,31.66,93,75,6.31,snow
35,Puerto Ayora,EC,-0.7393,-90.3518,78.76,93,75,5.99,broken clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,44,40,13.8,scattered clouds
37,Port Lincoln,AU,-34.7333,135.8667,52.93,72,3,3.44,clear sky
38,Kaitangata,NZ,-46.2817,169.8464,40.06,83,31,3.02,scattered clouds
39,Pevek,RU,69.7008,170.3133,33.33,83,21,5.82,few clouds
40,Puerto Madryn,AR,-42.7692,-65.0385,51.17,48,81,16.55,broken clouds
41,Ustyuzhna,RU,58.8394,36.4321,49.87,86,20,7.31,few clouds
42,Barrow,US,71.2906,-156.7887,50.02,76,0,6.91,clear sky
43,Nioaque,BR,-21.1353,-55.83,76.59,54,0,4.16,clear sky
44,Hilo,US,19.7297,-155.09,83.28,73,75,5.75,light rain
45,Baymak,RU,52.5933,58.3225,58.73,68,66,3.87,broken clouds
46,Cidreira,BR,-30.1811,-50.2056,61.59,81,90,8.93,overcast clouds
47,Yulara,AU,-25.2406,130.9889,56.01,51,54,5.53,broken clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,49.08,82,75,3.44,broken clouds
49,Sur,OM,22.5667,59.5289,89.19,63,17,10.67,few clouds
50,Inuvik,CA,68.3499,-133.7218,70.56,28,75,6.91,broken clouds
51,Galesong,ID,-5.3166,119.3661,73.42,81,67,4.54,broken clouds
52,Soto La Marina,MX,23.7667,-98.2167,90.77,35,18,17.63,few clouds
53,Rongcheng,CN,30.634,117.8517,73.45,91,90,3.13,overcast clouds
54,Luangwa,ZM,-15.6167,30.4167,63.36,55,0,3.47,clear sky
55,Colac,AU,-38.3333,143.5833,48.16,92,100,4.03,overcast clouds
56,Chokurdakh,RU,70.6333,147.9167,48.29,54,76,10.69,broken clouds
57,Impfondo,CG,1.6381,18.0667,71.15,95,77,1.45,moderate rain
58,East London,ZA,-33.0153,27.9116,57.61,60,100,9.01,overcast clouds
59,Hlukhiv,UA,51.6782,33.9162,53.69,85,30,3.15,scattered clouds
60,Lagoa,PT,39.05,-27.9833,66.51,89,1,9.35,clear sky
61,Castro,BR,-24.7911,-50.0119,57.94,84,2,2.8,clear sky
62,Pendleton,US,45.6721,-118.7886,77.61,43,0,8.05,clear sky
63,Ostrovnoy,RU,68.0531,39.5131,41.56,98,100,14.76,light rain
64,Mackay,AU,-21.15,149.2,66.02,83,7,8.34,clear sky
65,Sandi,IN,27.3,79.95,87.89,52,1,7.31,clear sky
66,San Cristobal,VE,7.7669,-72.225,80.78,73,38,4.59,scattered clouds
67,Wanning,CN,18.8003,110.3967,80.53,90,100,12.17,overcast clouds
68,Iquitos,PE,-3.7481,-73.2472,87.84,58,40,6.91,scattered clouds
69,Dikson,RU,73.5069,80.5464,33.35,98,98,7.67,overcast clouds
70,Aripuana,BR,-9.1667,-60.6333,77.7,73,61,1.66,broken clouds
71,Vaini,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
72,Faya,SA,18.3851,42.4509,69.91,24,47,4.12,scattered clouds
73,Jamestown,US,42.097,-79.2353,80.19,89,100,8.01,overcast clouds
74,Panlaitan,PH,12.1191,119.8486,83.21,76,83,6.06,broken clouds
75,Cherskiy,RU,68.75,161.3,52.41,37,68,7.54,broken clouds
76,Kapaa,US,22.0752,-159.319,82.38,78,20,13.8,few clouds
77,Grindavik,IS,63.8424,-22.4338,51.75,81,100,11.5,moderate rain
78,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,56.8,79,100,2.53,light rain
79,Mataura,NZ,-46.1927,168.8643,35.47,92,38,2.24,scattered clouds
80,Provideniya,RU,64.3833,-173.3,41.36,87,40,13.42,scattered clouds
81,Klaksvik,FO,62.2266,-6.589,50.92,97,99,15.68,overcast clouds
82,Ancud,CL,-41.8697,-73.8203,43.23,76,82,11.39,broken clouds
83,Martil,MA,35.6166,-5.2752,73.36,73,59,2.3,broken clouds
84,Xiamen,CN,24.4798,118.0819,76.24,100,75,2.24,broken clouds
85,Tura,IN,25.5198,90.2201,72.66,99,100,5.3,moderate rain
86,Samarai,PG,-10.6167,150.6667,81.95,80,69,12.59,broken clouds
87,Bengkulu,ID,-3.8004,102.2655,76.17,85,100,3.36,light rain
88,Agadez,NE,19.75,10.25,87.42,29,100,5.48,overcast clouds
89,Tingo Maria,PE,-9.2895,-76.0088,77.85,64,3,0.89,clear sky
90,Lebedyn,UA,50.5852,34.4849,60.35,69,100,2.39,overcast clouds
91,Yellowknife,CA,62.456,-114.3525,54.12,76,100,10.36,light intensity shower rain
92,Nikolskoye,RU,59.7035,30.7861,54.88,75,100,8.86,overcast clouds
93,Havoysund,NO,70.9963,24.6622,41.23,87,100,11.79,overcast clouds
94,Severo-Kurilsk,RU,50.6789,156.125,49.84,79,94,2.39,overcast clouds
95,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,20,9.22,few clouds
96,Torbay,CA,47.6666,-52.7314,59.77,71,20,8.05,few clouds
97,Hamilton,US,39.1834,-84.5333,92.25,62,40,12.66,scattered clouds
98,Aklavik,CA,68.2191,-135.0107,69.53,35,17,7.52,few clouds
99,Mago,RU,53.2514,140.1822,49.21,96,100,2.24,light rain
100,Poum,NC,-20.2333,164.0167,78.69,84,100,12.64,overcast clouds
101,Kropotkin,RU,45.4375,40.5756,59.97,64,49,4.34,scattered clouds
102,Linping,CN,30.4225,120.2972,76.93,85,82,4.45,broken clouds
103,Sal Rei,CV,16.1833,-22.9167,73.44,82,39,16.96,scattered clouds
104,Tiarei,PF,-17.5333,-149.3333,84.22,77,40,20.62,light rain
105,Alekseyevsk,RU,57.8406,108.3492,65.14,69,100,0.65,overcast clouds
106,Excelsior Springs,US,39.3392,-94.2261,96.73,56,40,5.75,scattered clouds
107,Qaanaaq,GL,77.484,-69.3632,35.31,80,11,1.79,few clouds
108,Tiksi,RU,71.6872,128.8694,33.76,82,84,7.76,broken clouds
109,Kapoeta,SS,4.7717,33.5903,79.74,42,9,6.38,clear sky
110,Camana,PE,-16.6228,-72.7111,61.43,83,87,10.78,overcast clouds
111,Coquimbo,CL,-29.9533,-71.3436,56.93,88,40,12.66,scattered clouds
112,Bemidji,US,47.4736,-94.8803,72.55,45,40,25.32,scattered clouds
113,Uong Bi,VN,21.0333,106.7833,82.38,90,100,5.59,overcast clouds
114,Macamic,CA,48.7502,-78.9996,77.13,54,36,12.53,scattered clouds
115,Yichang,CN,30.7144,111.2847,71.56,76,4,2.21,clear sky
116,Busselton,AU,-33.65,115.3333,65.97,70,95,22.66,overcast clouds
117,Vardo,NO,70.3705,31.1107,40.98,87,100,14.97,overcast clouds
118,Zambezi,ZM,-13.5432,23.1047,58.41,50,1,5.03,clear sky
119,San Vicente,AR,-26.6167,-54.1333,63.05,82,99,5.46,overcast clouds
120,Lodwar,KE,3.1191,35.5973,85.51,34,51,17.96,broken clouds
121,Nanortalik,GL,60.1432,-45.2371,37.78,85,26,6.38,scattered clouds
122,Lorengau,PG,-2.0226,147.2712,83.53,74,100,10.42,overcast clouds
123,Alice Springs,AU,-23.7,133.8833,40.55,87,7,0.0,clear sky
124,Sarangani,PH,5.4033,125.4636,82.6,71,99,7.18,overcast clouds
125,Nouakchott,MR,18.0858,-15.9785,76.93,72,1,23.44,clear sky
126,Verkhoyansk,RU,67.5447,133.385,48.78,61,96,8.57,overcast clouds
127,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.49,43,54,0.51,broken clouds
128,Constitucion,CL,-35.3333,-72.4167,51.01,80,7,11.63,clear sky
129,Port Elizabeth,ZA,-33.918,25.5701,57.49,67,0,11.5,clear sky
130,Avarua,CK,-21.2078,-159.775,80.65,61,100,9.22,overcast clouds
131,Kodiak,US,57.79,-152.4072,53.11,82,100,6.91,overcast clouds
132,Domoni,KM,-12.2569,44.5319,76.26,76,0,7.58,clear sky
133,Agdas,AZ,40.65,47.4761,71.47,54,7,5.08,clear sky
134,Bredasdorp,ZA,-34.5322,20.0403,51.31,50,58,4.61,broken clouds
135,Fairbanks,US,64.8378,-147.7164,72.01,53,40,3.44,scattered clouds
136,Mapiripan,CO,2.8892,-72.1256,80.42,78,59,1.52,broken clouds
137,Aqtobe,KZ,50.2797,57.2072,59.09,67,0,0.0,clear sky
138,Burnie,AU,-41.0667,145.9167,45.95,82,100,5.64,overcast clouds
139,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,92,27,3.8,scattered clouds
140,Katherine,AU,-14.4667,132.2667,57.52,44,19,5.75,few clouds
141,Bonoua,CI,5.2741,-3.595,78.42,92,100,8.08,light rain
142,Khor,RU,47.8861,134.9464,64.15,81,50,4.47,scattered clouds
143,Victoria,HK,22.2855,114.1577,84.38,87,94,10.0,overcast clouds
144,Saint George,US,37.1041,-113.5841,108.63,5,0,8.05,clear sky
145,Tabou,CI,4.423,-7.3528,76.03,90,100,10.38,light rain
146,Sitka,US,57.0531,-135.33,71.49,43,0,5.75,clear sky
147,Mineral Wells,US,32.8085,-98.1128,103.08,15,21,10.38,few clouds
148,Shimoda,JP,34.6667,138.95,71.1,93,100,12.75,moderate rain
149,Eureka,US,40.8021,-124.1637,63.12,67,100,5.01,overcast clouds
150,Talnakh,RU,69.4865,88.3972,56.21,86,96,4.09,light rain
151,Jining,CN,35.405,116.5814,84.78,43,19,9.55,few clouds
152,Kavieng,PG,-2.5744,150.7967,82.33,74,40,14.67,scattered clouds
153,Sucre,BO,-19.0333,-65.2627,60.51,21,0,6.98,clear sky
154,Talavera De La Reina,ES,39.9635,-4.8308,74.08,56,100,6.87,overcast clouds
155,Beira,MZ,-19.8436,34.8389,73.49,73,40,8.05,scattered clouds
156,Cururupu,BR,-1.8283,-44.8683,75.0,89,31,3.65,scattered clouds
157,Sioux Lookout,CA,50.1001,-91.917,60.87,88,75,10.36,broken clouds
158,Jatibonico,CU,21.9419,-79.17,84.27,71,69,11.52,broken clouds
159,Ozernovskiy,RU,51.5,156.5167,50.52,80,92,10.51,overcast clouds
160,Rosetta,EG,31.4044,30.4164,74.57,79,0,11.63,clear sky
161,Mahebourg,MU,-20.4081,57.7,72.25,83,20,9.22,few clouds
162,Kaa-Khem,RU,51.6833,94.7333,56.77,73,97,3.38,overcast clouds
163,Upernavik,GL,72.7868,-56.1549,35.19,75,0,7.83,clear sky
164,Clyde River,CA,70.4692,-68.5914,30.43,100,100,31.07,light snow
165,Vanimo,PG,-2.6741,141.3028,77.99,89,92,5.28,moderate rain
166,Haines Junction,CA,60.7522,-137.5108,71.55,33,76,4.61,broken clouds
167,Bosaso,SO,11.2842,49.1816,93.47,38,100,13.24,overcast clouds
168,General Roca,AR,-39.0333,-67.5833,52.63,42,2,31.7,clear sky
169,Turukhansk,RU,65.8167,87.9833,58.89,86,79,6.13,broken clouds
170,Bonnyville,CA,54.2668,-110.735,67.8,64,69,13.89,broken clouds
171,Dongli,CN,23.5656,116.8194,76.98,100,75,4.47,mist
172,Iqaluit,CA,63.7506,-68.5145,42.53,56,75,21.85,broken clouds
173,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,33,10.07,scattered clouds
174,Herat,AF,34.5,62.0,75.74,31,0,26.73,clear sky
175,Datong,CN,40.0936,113.2914,68.5,63,37,3.91,scattered clouds
176,Buraydah,SA,26.326,43.975,95.45,15,2,11.72,clear sky
177,Alofi,NU,-19.0595,-169.9187,80.49,74,20,13.8,few clouds
178,Olgod,DK,55.8068,8.6286,56.68,89,98,7.23,overcast clouds
179,Norman Wells,CA,65.282,-126.8329,66.24,34,20,9.22,few clouds
180,Margate,GB,51.3813,1.3862,67.3,66,100,3.0,overcast clouds
181,Emerald,AU,-23.5333,148.1667,58.33,53,95,11.43,overcast clouds
182,Avera,US,33.194,-82.5271,97.38,30,2,9.57,clear sky
183,Kungsbacka,SE,57.4872,12.0761,61.07,86,3,13.0,clear sky
184,San Juan,AR,-31.5375,-68.5364,51.76,42,0,2.82,clear sky
185,Bethel,US,41.3712,-73.414,68.49,87,99,1.01,overcast clouds
186,Katsuura,JP,35.1333,140.3,72.41,91,100,15.68,overcast clouds
187,Sobolevo,RU,54.4299,31.8996,51.67,89,94,5.84,overcast clouds
188,Ak-Dovurak,RU,51.1833,90.6,53.35,88,58,3.71,broken clouds
189,Veraval,IN,20.9,70.3667,83.73,79,96,13.38,overcast clouds
190,Chifeng,CN,42.2683,118.9636,69.26,66,54,4.18,broken clouds
191,Esperance,AU,-33.8667,121.9,58.91,88,0,13.89,clear sky
192,Broome,US,42.2506,-75.833,77.77,77,40,10.36,scattered clouds
193,El Reno,US,35.5323,-97.955,97.21,44,0,18.41,haze
194,Ilulissat,GL,69.2167,-51.1,44.89,54,100,12.17,overcast clouds
195,Pokhara,NP,28.2333,83.9833,71.02,90,91,0.96,overcast clouds
196,Solhan,TR,38.9634,41.0293,62.17,60,11,3.22,few clouds
197,Husavik,IS,66.0449,-17.3389,54.61,58,64,4.68,broken clouds
198,Magadan,RU,59.5667,150.8,45.54,94,100,5.01,light rain
199,Mount Isa,AU,-20.7333,139.5,53.37,47,0,5.75,clear sky
200,Chicama,PE,-7.8447,-79.1469,63.14,68,18,11.25,few clouds
201,Lazarev,RU,52.225,141.5131,43.09,97,100,7.11,overcast clouds
202,Balsas,BR,-7.5325,-46.0356,80.67,53,100,3.65,overcast clouds
203,Mitsamiouli,KM,-11.3847,43.2844,77.85,69,2,5.55,clear sky
204,Santa Cruz,BO,-17.8,-63.1667,83.66,47,20,26.46,few clouds
205,Zhigansk,RU,66.7697,123.3711,48.29,50,0,22.1,clear sky
206,Aykhal,RU,66.0,111.5,57.43,49,100,4.18,overcast clouds
207,Hede,CN,33.7681,120.2517,76.89,70,9,3.42,clear sky
208,Rio Claro,BR,-22.4114,-47.5614,63.66,58,0,1.3,clear sky
209,Port-Gentil,GA,-0.7193,8.7815,75.16,88,20,4.61,few clouds
210,Faanui,PF,-16.4833,-151.75,80.26,68,0,17.36,clear sky
211,Portel,BR,-1.9356,-50.8211,77.11,70,90,2.48,overcast clouds
212,Ixtapa,MX,20.7,-105.2,84.22,77,100,4.0,overcast clouds
213,Karratha,AU,-20.7377,116.8463,71.65,54,34,7.78,scattered clouds
214,Panguna,PG,-6.3164,155.4848,73.76,82,97,3.29,light rain
215,Saldanha,ZA,-33.0117,17.9442,59.05,54,98,14.92,overcast clouds
216,Elizabeth City,US,36.2946,-76.2511,84.0,76,100,5.99,overcast clouds
217,Usinsk,RU,65.9939,57.5281,57.99,60,100,11.3,overcast clouds
218,Luderitz,NA,-26.6481,15.1594,59.02,46,3,6.91,clear sky
219,Basco,PH,20.4487,121.9702,85.55,74,87,12.35,overcast clouds
220,Smithers,CA,54.7804,-127.1743,57.52,82,100,2.3,light rain
221,Sayyan,YE,15.1718,44.3244,64.36,44,9,2.19,clear sky
222,Kandi,BJ,11.1342,2.9386,77.36,67,89,4.63,overcast clouds
223,Ribeira Grande,PT,38.5167,-28.7,68.22,88,0,5.7,clear sky
224,Hami,CN,42.8,93.45,75.22,34,66,19.13,broken clouds
225,Amurzet,RU,47.6967,131.0981,63.01,92,100,4.16,overcast clouds
226,Coatesville,US,39.9832,-75.8238,77.86,83,100,3.0,overcast clouds
227,Kimbe,PG,-5.5502,150.1429,78.62,86,92,1.79,overcast clouds
228,Paita,PE,-5.0892,-81.1144,68.07,70,20,21.79,few clouds
229,Gold Coast,AU,-28.0,153.4333,56.03,93,0,4.61,clear sky
230,Eirunepe,BR,-6.6603,-69.8736,72.46,97,96,2.68,overcast clouds
231,Berdigestyakh,RU,62.0989,126.6992,54.68,68,52,7.45,broken clouds
232,Airai,TL,-8.9266,125.4092,57.69,93,91,3.89,overcast clouds
233,Anadyr,RU,64.75,177.4833,54.1,66,0,15.66,clear sky
234,Narsaq,GL,60.9167,-46.05,42.33,69,32,8.08,scattered clouds
235,Lebu,CL,-37.6167,-73.65,49.14,79,46,5.14,scattered clouds
236,Almonte,ES,37.2647,-6.5167,73.44,67,51,6.11,broken clouds
237,Nadym,RU,65.5333,72.5167,47.17,64,14,13.33,few clouds
238,Saint Anthony,US,45.0205,-93.218,79.9,48,67,5.01,broken clouds
239,Souillac,MU,-20.5167,57.5167,71.98,83,20,9.22,few clouds
240,Kralendijk,BQ,12.15,-68.2667,81.05,85,38,21.99,scattered clouds
241,Lavrentiya,RU,65.5833,-171.0,40.96,84,74,11.5,broken clouds
242,Warmbad,NA,-28.45,18.7333,56.64,27,4,10.25,clear sky
243,Robertson,US,36.5167,-86.8667,98.37,48,0,5.75,clear sky
244,Pangnirtung,CA,66.1451,-65.7125,39.2,75,75,17.27,broken clouds
245,Sola,VU,-13.8833,167.55,81.27,89,75,4.61,broken clouds
246,Caravelas,BR,-17.7125,-39.2481,69.04,71,1,5.53,clear sky
247,Fershampenuaz,RU,53.5202,59.8117,64.13,68,80,4.83,broken clouds
248,Bayir,TR,37.2687,28.2167,64.92,70,0,3.6,clear sky
249,Atbasar,KZ,51.8,68.3333,62.98,67,58,4.99,broken clouds
250,Samana,DO,19.2056,-69.3369,82.62,78,75,0.0,broken clouds
251,Berlevag,NO,70.8578,29.0864,41.0,81,75,9.22,broken clouds
252,Sillod,IN,20.3,75.65,79.63,67,99,10.47,moderate rain
253,Teguldet,RU,57.3064,88.1667,54.37,99,100,5.46,light rain
254,Garissa,KE,-0.4536,39.6401,75.42,78,40,15.57,scattered clouds
255,Bratsk,RU,56.1325,101.6142,63.09,93,91,4.54,overcast clouds
256,Blackwater,AU,-23.5833,148.8833,60.75,57,90,6.33,overcast clouds
257,Lompoc,US,34.6391,-120.4579,83.79,69,75,24.0,broken clouds
258,Kununurra,AU,-15.7667,128.7333,55.38,50,80,4.61,broken clouds
259,Dudinka,RU,69.4058,86.1778,56.62,96,100,8.39,light rain
260,Nioro,GM,13.35,-15.75,79.79,66,57,11.83,broken clouds
261,Bara,NG,10.3744,10.7288,76.01,80,100,3.22,moderate rain
262,Palmer,US,42.1584,-72.3287,70.21,71,100,18.41,overcast clouds
263,Sydney,AU,-33.8679,151.2073,55.71,74,20,10.36,few clouds
264,Mnogovershinnyy,RU,53.9353,139.9242,48.56,84,100,2.66,overcast clouds
265,Kirakira,SB,-10.4544,161.9205,82.2,78,100,9.04,overcast clouds
266,Merauke,ID,-8.4667,140.3333,78.55,86,16,12.33,few clouds
267,Goldap,PL,54.3063,22.3036,50.29,95,100,4.74,overcast clouds
268,Panzhihua,CN,26.5851,101.7128,69.3,94,100,0.94,overcast clouds
269,Kostomuksha,RU,64.571,30.5767,45.79,96,100,8.72,overcast clouds
270,Sao Filipe,CV,14.8961,-24.4956,74.12,85,30,3.85,scattered clouds
271,Nizwa,OM,22.9333,57.5333,90.18,37,8,1.61,clear sky
272,Hofn,IS,64.2539,-15.2082,50.23,85,100,9.48,overcast clouds
273,Fort Nelson,CA,58.8053,-122.7002,58.59,72,100,0.0,overcast clouds
274,Caibarien,CU,22.5206,-79.4669,83.08,75,53,14.14,broken clouds
275,Pisco,PE,-13.7,-76.2167,69.85,64,75,24.16,dust
276,Dzaoudzi,YT,-12.7887,45.2699,76.89,83,0,8.05,clear sky
277,Vila Velha,BR,-20.3297,-40.2925,69.94,81,40,3.44,scattered clouds
278,Davila,PH,18.4726,120.5763,78.78,77,70,4.36,broken clouds
279,Severobaykalsk,RU,55.65,109.3167,54.52,73,84,1.34,broken clouds
280,Acapulco,MX,16.8634,-99.8901,79.11,83,100,4.38,overcast clouds
281,Biak,ID,-0.9131,122.8766,75.24,83,74,4.85,broken clouds
282,Babstovo,RU,48.1167,132.4833,60.12,97,100,4.47,overcast clouds
283,Eseka,CM,3.65,10.7667,71.26,100,100,1.83,moderate rain
284,Carnarvon,AU,-24.8667,113.6333,71.24,80,87,8.9,overcast clouds
285,Beringovskiy,RU,63.05,179.3167,44.6,74,73,6.38,broken clouds
286,Deputatskiy,RU,69.3,139.9,42.85,64,98,4.72,overcast clouds
287,Ridgecrest,US,35.6225,-117.6709,106.02,5,0,11.99,clear sky
288,Marawi,PH,7.9986,124.2928,68.92,91,77,2.75,broken clouds
289,Dingle,PH,10.9995,122.6711,77.7,85,86,4.23,overcast clouds
290,Rio Negrinho,BR,-26.2544,-49.5183,56.03,90,4,1.21,clear sky
291,Kahului,US,20.8947,-156.47,85.96,80,16,5.01,few clouds
292,Hovd,MN,48.0056,91.6419,64.72,31,100,4.41,overcast clouds
293,Guerrero Negro,MX,27.9769,-114.0611,75.33,48,0,18.23,clear sky
294,Severodvinsk,RU,64.5635,39.8302,57.31,96,100,9.1,overcast clouds
295,San Rafael,AR,-34.6177,-68.3301,52.32,31,0,6.62,clear sky
296,Lake Havasu City,US,34.4839,-114.3224,113.05,3,0,11.5,clear sky
297,Ciudad Bolivar,VE,8.1222,-63.5497,85.68,56,93,10.02,overcast clouds
298,La Asuncion,VE,11.0333,-63.8628,94.73,49,18,18.41,few clouds
299,Cape Town,ZA,-33.9258,18.4232,62.11,52,0,9.22,clear sky
300,Acurenam,GQ,1.0322,10.6488,67.75,97,100,3.47,overcast clouds
301,Kologriv,RU,58.8275,44.3178,50.07,96,21,4.43,few clouds
302,Te Anau,NZ,-45.4167,167.7167,40.32,93,54,1.52,broken clouds
303,Tigil,RU,57.8,158.6667,51.58,95,100,10.42,moderate rain
304,Kolosovka,RU,56.4678,73.611,54.14,89,100,10.4,overcast clouds
305,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
306,Nanakuli,US,21.3906,-158.1547,82.45,78,100,5.75,light rain
307,Yeniseysk,RU,58.4497,92.1703,56.39,99,99,3.71,light rain
308,Necochea,AR,-38.5473,-58.7368,48.88,74,0,6.51,clear sky
309,Aldan,RU,58.6031,125.3894,58.82,69,87,2.01,overcast clouds
310,Nemuro,JP,43.3236,145.575,54.45,96,44,6.91,scattered clouds
311,Phan Thiet,VN,10.9333,108.1,76.6,88,91,4.03,overcast clouds
312,Yeppoon,AU,-23.1333,150.7333,58.78,75,89,6.78,overcast clouds
313,Assiniboia,CA,49.6334,-105.9845,67.82,49,70,13.8,broken clouds
314,Leh,IN,34.1667,77.5833,54.28,41,97,5.88,overcast clouds
315,Zhuanghe,CN,39.7008,122.9911,64.87,91,21,7.14,few clouds
316,Axim,GH,4.8699,-2.2405,74.7,91,100,10.22,light rain
317,Japura,ID,-0.3167,102.35,72.86,99,100,2.1,overcast clouds
318,Nehe,CN,48.4833,124.8333,63.57,69,6,12.1,clear sky
319,Puerto Escondido,MX,15.85,-97.0667,80.67,80,100,6.51,overcast clouds
320,Iquique,CL,-20.2208,-70.1431,64.44,75,75,5.46,broken clouds
321,Wagar,SD,16.1525,36.2032,92.84,31,14,8.88,few clouds
322,Half Moon Bay,US,37.4636,-122.4286,77.58,65,0,13.8,clear sky
323,Rancho Palos Verdes,US,33.7445,-118.387,87.85,79,22,10.0,few clouds
324,Rio Gallegos,AR,-51.6226,-69.2181,35.65,69,20,24.16,few clouds
325,Lima,PE,-12.0432,-77.0282,63.39,74,0,13.8,clear sky
326,Alakurtti,RU,66.9672,30.3491,43.74,91,100,15.21,overcast clouds
327,Leningradskiy,RU,69.3833,178.4167,36.88,76,92,11.59,overcast clouds
328,Jalu,LY,29.0331,21.5482,83.5,27,3,9.71,clear sky
329,Beyneu,KZ,45.3167,55.2,81.97,21,100,8.9,overcast clouds
330,San Quintin,MX,30.4833,-115.95,71.38,58,1,9.8,clear sky
331,Guhagar,IN,17.4842,73.1929,79.47,87,100,3.29,overcast clouds
332,Broken Hill,AU,-31.95,141.4333,54.73,53,89,7.14,overcast clouds
333,Bandarbeyla,SO,9.4942,50.8122,78.03,79,100,25.7,overcast clouds
334,Marfino,RU,55.7028,37.3822,60.94,60,0,6.71,clear sky
335,Conakry,GN,9.538,-13.6773,82.47,83,75,11.5,broken clouds
336,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,23.02,scattered clouds
337,Elk,PL,53.8282,22.3647,52.36,94,100,6.02,overcast clouds
338,Krasnoselkup,RU,65.7,82.4667,61.2,84,86,2.89,overcast clouds
339,Auxerre,FR,47.8,3.5667,64.63,68,96,5.53,overcast clouds
340,Henties Bay,NA,-22.116,14.2845,58.32,84,5,8.1,clear sky
341,Watertown,US,42.3709,-71.1828,75.58,54,91,13.0,overcast clouds
342,Kavaratti,IN,10.5669,72.642,82.49,78,94,13.13,overcast clouds
343,Kharitonovo,RU,61.4009,47.4978,52.18,96,74,3.13,broken clouds
344,Macherla,IN,16.4833,79.4333,84.85,66,100,5.12,overcast clouds
345,Panuco,MX,22.05,-98.1667,89.28,48,92,13.76,overcast clouds
346,Havre-Saint-Pierre,CA,50.2334,-63.5986,73.76,49,0,11.5,clear sky
347,Ligayan,PH,4.6533,119.4706,82.71,74,81,9.84,broken clouds
348,Baruun-Urt,MN,46.6806,113.2792,63.91,69,100,4.36,light rain
349,Warwick,US,41.7001,-71.4162,72.75,68,99,5.01,overcast clouds
